PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Denmark,2022,8.0,Animal and vegetable products from the food and beverage sector,Particulate matter (PM10),9644.0
2026/02/13,Sweden,2009,2.0,Production and processing of metals,Copper and compounds (as Cu),865.0
2026/02/13,Denmark,2015,5.0,Waste and wastewater management,Methane (CH4),17037000.0
2026/02/13,Norway,2011,2.0,Production and processing of metals,Sulphur oxides (SOX),6725000.0
2026/02/13,Sweden,2021,2.0,Production and processing of metals,Nickel and compounds (as Ni),526.0
2026/02/13,Sweden,2023,2.0,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.0003
2026/02/13,Sweden,2009,4.0,Chemical industry,Nitrous oxide (N2O),1005000.0
2026/02/13,Sweden,2020,2.0,Production and processing of metals,Chlorine and inorganic compounds (as HCl),69800.0
2026/02/13,Norway,2015,4.0,Chemical industry,Non-methane volatile organic compounds (NMVOC),817000.0
2026/02/13,Denmark,2018,2.0,Production and processing of metals,Cadmium and compounds (as Cd),0.009
2026/02/13,Sweden,2016,3.0,Mineral industry,Particulate matter (PM10),65000.0
2026/02/13,Denmark,2023,5.0,Waste and wastewater management,Copper and compounds (as Cu),2.11
2026/02/13,Sweden,2013,4.0,Chemical industry,Hydro-fluorocarbons (HFCS),343.0
2026/02/13,Denmark,2007,5.0,Waste and wastewater management,Nickel and compounds (as Ni),79.0
2026/02/13,Denmark,2016,1.0,Energy sector,Fluorine and inorganic compounds (as HF),38220.0
2026/02/13,Sweden,2018,2.0,Production and processing of metals,Hydro-fluorocarbons (HFCS),436.0
2026/02/13,Sweden,2024,6.0,Paper and wood production and processing,Particulate matter (PM10),1429890.435
2026/02/13,Sweden,2022,1.0,Energy sector,Cadmium and compounds (as Cd),20.0
2026/02/13,Sweden,2007,6.0,Paper and wood production and processing,Sulphur oxides (SOX),4708000.0
2026/02/13,Denmark,2022,5.0,Waste and wastewater management,Particulate matter (PM10),2859.5076
2026/02/13,Sweden,2021,1.0,Energy sector,Nickel and compounds (as Ni),57.0
2026/02/13,Norway,2009,2.0,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.00055
2026/02/13,Norway,2009,2.0,Production and processing of metals,Polycyclic aromatic hydrocarbons (PAHs),1770.0
2026/02/13,Sweden,2013,1.0,Energy sector,Nitrogen oxides (NOX),3862000.0
2026/02/13,Sweden,2012,4.0,Chemical industry,Nitrogen oxides (NOX),549000.0
