PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,Pollutant,Releases
2026/02/13,Italy,2008,,,Benzene,7090
2026/02/13,Czechia,2019,,,Sulphur hexafluoride (SF6),646.26
2026/02/13,Poland,2008,3,Mineral industry,Methane (CH4),413618000
2026/02/13,Cyprus,2017,1,Energy sector,Sulphur oxides (SOX),14700000
2026/02/13,Czechia,2019,4,Chemical industry,PCDD + PCDF (dioxins + furans) (as Teq),0.000135
2026/02/13,France,2014,3,Mineral industry,Naphthalene,2622
2026/02/13,Finland,2019,6,Paper and wood production and processing,Carbon dioxide (CO2),20672000000
2026/02/13,Cyprus,2017,1,Energy sector,Carbon dioxide (CO2),3250000000
2026/02/13,France,2007,9,Other activities,Nitrogen oxides (NOX),497000
2026/02/13,France,2008,6,Paper and wood production and processing,Polycyclic aromatic hydrocarbons (PAHs),177
2026/02/13,Norway,2013,2,Production and processing of metals,"Benzo(g,h,i)perylene",558.792
2026/02/13,Italy,2016,5,Waste and wastewater management,Chlorine and inorganic compounds (as HCl),17400
2026/02/13,Italy,2019,3,Mineral industry,Zinc and compounds (as Zn),1072.9
2026/02/13,Netherlands,2021,3,Mineral industry,Nitrogen oxides (NOX),1498000
2026/02/13,Belgium,2014,1,Energy sector,Hydro-fluorocarbons (HFCS),239
2026/02/13,Spain,2007,2,Production and processing of metals,Methane (CH4),896000
2026/02/13,Switzerland,2019,4,Chemical industry,Ammonia (NH3),59.3
2026/02/13,Italy,2022,4,Chemical industry,Trichloromethane,7863.544
2026/02/13,Greece,2023,1,Energy sector,Particulate matter (PM10),959200
2026/02/13,Slovakia,2015,1,Energy sector,Benzene,56600
2026/02/13,Ireland,2007,7,Intensive livestock production and aquaculture,Methane (CH4),4085000
2026/02/13,Norway,2012,2,Production and processing of metals,Nickel and compounds (as Ni),3822.4
2026/02/13,Czechia,2007,4,Chemical industry,Mercury and compounds (as Hg),229.5
2026/02/13,Netherlands,2010,4,Chemical industry,Nitrogen oxides (NOX),10809000
2026/02/13,Poland,2016,1,Energy sector,Polycyclic aromatic hydrocarbons (PAHs),5298.2
2026/02/13,Finland,2024,8,Animal and vegetable products from the food and beverage sector,Hydro-fluorocarbons (HFCS),161
2026/02/13,Netherlands,2010,1,Energy sector,Sulphur oxides (SOX),19117000
2026/02/13,United Kingdom,2011,5,Waste and wastewater management,Halons,54.75
2026/02/13,France,2015,6,Paper and wood production and processing,Copper and compounds (as Cu),278
2026/02/13,Slovenia,2022,1,Energy sector,Nitrous oxide (N2O),45610
2026/02/13,Portugal,2015,6,Paper and wood production and processing,Benzene,11530
2026/02/13,Poland,2013,3,Mineral industry,Carbon dioxide (CO2),11799000000
2026/02/13,Netherlands,2022,5,Waste and wastewater management,Mercury and compounds (as Hg),34.2
2026/02/13,Italy,2011,7,Intensive livestock production and aquaculture,Nitrous oxide (N2O),66000
2026/02/13,Poland,2009,3,Mineral industry,Chlorine and inorganic compounds (as HCl),36800
2026/02/13,Norway,2012,4,Chemical industry,Ammonia (NH3),463000
2026/02/13,Spain,2020,5,Waste and wastewater management,Zinc and compounds (as Zn),309
2026/02/13,Switzerland,2020,5,Waste and wastewater management,Nitrous oxide (N2O),89800
2026/02/13,Netherlands,2022,3,Mineral industry,Ammonia (NH3),309400
2026/02/13,Finland,2007,2,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.0009
2026/02/13,Romania,2008,7,Intensive livestock production and aquaculture,Nitrous oxide (N2O),24300
2026/02/13,Ireland,2013,4,Chemical industry,Hydrochlorofluorocarbons (HCFCs),2360
2026/02/13,Hungary,2013,4,Chemical industry,Mercury and compounds (as Hg),109
2026/02/13,France,2017,2,Production and processing of metals,Nitrous oxide (N2O),208200
2026/02/13,France,2012,,,Copper and compounds (as Cu),565
2026/02/13,Switzerland,2012,1,Energy sector,Carbon dioxide (CO2),993000000
2026/02/13,Latvia,2014,1,Energy sector,Nitrogen oxides (NOX),1053000
2026/02/13,Poland,2007,4,Chemical industry,PCDD + PCDF (dioxins + furans) (as Teq),0.00055
2026/02/13,Czechia,2017,4,Chemical industry,Hydrochlorofluorocarbons (HCFCs),1412.7
2026/02/13,Portugal,2016,3,Mineral industry,Particulate matter (PM10),207000
2026/02/13,Switzerland,2018,3,Mineral industry,Sulphur oxides (SOX),628800
2026/02/13,Luxembourg,2007,2,Production and processing of metals,Sulphur oxides (SOX),394000
2026/02/13,Switzerland,2018,2,Production and processing of metals,Sulphur oxides (SOX),268498
2026/02/13,Netherlands,2020,2,Production and processing of metals,Nitrous oxide (N2O),22000
2026/02/13,Lithuania,2017,3,Mineral industry,Ammonia (NH3),34300
2026/02/13,Luxembourg,2008,1,Energy sector,Nitrogen oxides (NOX),412000
2026/02/13,Latvia,2024,6,Paper and wood production and processing,Nitrogen oxides (NOX),319000
2026/02/13,France,2017,9,Other activities,Dichloromethane (DCM),68000
2026/02/13,Czechia,2015,6,Paper and wood production and processing,Hydrochlorofluorocarbons (HCFCs),6
2026/02/13,Estonia,2023,6,Paper and wood production and processing,Carbon dioxide (CO2) excluding biomass,4030000
2026/02/13,Greece,2016,1,Energy sector,Hydro-fluorocarbons (HFCS),1411
2026/02/13,Greece,2021,1,Energy sector,Particulate matter (PM10),1206200
2026/02/13,Ireland,2015,4,Chemical industry,Dichloromethane (DCM),1880
2026/02/13,Latvia,2013,7,Intensive livestock production and aquaculture,Particulate matter (PM10),52100
2026/02/13,Belgium,2018,2,Production and processing of metals,Lead and compounds (as Pb),4409
2026/02/13,Netherlands,2011,2,Production and processing of metals,Chlorofluorocarbons (CFCs),3
2026/02/13,United Kingdom,2017,4,Chemical industry,Particulate matter (PM10),88200
2026/02/13,Greece,2019,2,Production and processing of metals,PCDD + PCDF (dioxins + furans) (as Teq),0.00011
2026/02/13,Cyprus,2023,3,Mineral industry,Mercury and compounds (as Hg),85.82
2026/02/13,Romania,2013,2,Production and processing of metals,Perfluorocarbons (PFCs),780
2026/02/13,Switzerland,2018,5,Waste and wastewater management,Fluorine and inorganic compounds (as HF),12
2026/02/13,Romania,2010,2,Production and processing of metals,Perfluorocarbons (PFCs),1150
2026/02/13,Switzerland,2018,3,Mineral industry,Carbon dioxide (CO2),2507690000
2026/02/13,Czechia,2018,,,Methane (CH4),34272
2026/02/13,Germany,2016,4,Chemical industry,Hexachlorobenzene (HCB),32
2026/02/13,United Kingdom,2010,5,Waste and wastewater management,Sulphur oxides (SOX),9240000
2026/02/13,Romania,2010,1,Energy sector,Carbon monoxide (CO),2844000
2026/02/13,Poland,2014,7,Intensive livestock production and aquaculture,Copper and compounds (as Cu),158
2026/02/13,Denmark,2023,3,Mineral industry,Sulphur oxides (SOX),663747
2026/02/13,Austria,2024,1,Energy sector,Methane (CH4),1104000
2026/02/13,Italy,2008,7,Intensive livestock production and aquaculture,Nitrous oxide (N2O),22700
2026/02/13,Bulgaria,2011,3,Mineral industry,Sulphur oxides (SOX),906000
